100,100
106,101
118,98
127,94
132,91
142,82
147,73
153,60
154,51
154,41
152,32
148,22
141,10.6
132,2.8
122,-2.9
111,-8
100,-8
90,-6
80,-3
73,0
60,10
50,21
43,40
44,50
46,60
48,68
52,79
60,90
68,100
74,106
82,112
90,115
100,117
110,115
120,110
130,108
140,100
150,90.1
160,80
165,70
168,50
167,40
163,30
159,21
154,10
150,5
140,-5
130,-12
120,-15
110,-20
100,-20
90,-18
70,-13
60,-9
40,10
30,25
28,50
31,60
33,70
40,90
48,102
52,110
65,120
70,125
80,130
90,132
100,133
